trial,female id,female pop,proportion,type,Average proportion,sd
1,A1,A,0.553,T,0.42675,0.078776006
2,A1,A,0.488,T,0.42675,0.078776006
3,A1,A,0.375,T,0.42675,0.078776006
4,A1,A,0.408,T,0.42675,0.078776006
1,A3,A,0.5,T,0.42675,0.078776006
2,A3,A,0.458,T,0.42675,0.078776006
3,A3,A,0.364,T,0.42675,0.078776006
4,A3,A,0.317,T,0.42675,0.078776006
1,A5,A,0.531,T,0.42675,0.078776006
2,A5,A,0.327,T,0.42675,0.078776006
3,A5,A,0.422,T,0.42675,0.078776006
4,A5,A,0.378,T,0.42675,0.078776006
1,A1,A,0.447,H,0.57325,0.078776006
2,A1,A,0.512,H,0.57325,0.078776006
3,A1,A,0.625,H,0.57325,0.078776006
4,A1,A,0.592,H,0.57325,0.078776006
1,A3,A,0.5,H,0.57325,0.078776006
2,A3,A,0.542,H,0.57325,0.078776006
3,A3,A,0.636,H,0.57325,0.078776006
4,A3,A,0.683,H,0.57325,0.078776006
1,A5,A,0.469,H,0.57325,0.078776006
2,A5,A,0.673,H,0.57325,0.078776006
3,A5,A,0.578,H,0.57325,0.078776006
4,A5,A,0.622,H,0.57325,0.078776006
1,C1,C,0.306,T,0.400166667,0.085595065
2,C1,C,0.298,T,0.400166667,0.085595065
3,C1,C,0.417,T,0.400166667,0.085595065
4,C1,C,0.5,T,0.400166667,0.085595065
1,C3,C,0.286,T,0.400166667,0.085595065
2,C3,C,0.354,T,0.400166667,0.085595065
3,C3,C,0.512,T,0.400166667,0.085595065
4,C3,C,0.422,T,0.400166667,0.085595065
1,C5,C,0.449,T,0.400166667,0.085595065
2,C5,C,0.408,T,0.400166667,0.085595065
3,C5,C,0.327,T,0.400166667,0.085595065
4,C5,C,0.523,T,0.400166667,0.085595065
1,C1,C,0.694,H,0.599833333,0.085595065
2,C1,C,0.702,H,0.599833333,0.085595065
3,C1,C,0.583,H,0.599833333,0.085595065
4,C1,C,0.5,H,0.599833333,0.085595065
1,C3,C,0.714,H,0.599833333,0.085595065
2,C3,C,0.646,H,0.599833333,0.085595065
3,C3,C,0.488,H,0.599833333,0.085595065
4,C3,C,0.578,H,0.599833333,0.085595065
1,C5,C,0.551,H,0.599833333,0.085595065
2,C5,C,0.592,H,0.599833333,0.085595065
3,C5,C,0.673,H,0.599833333,0.085595065
4,C5,C,0.477,H,0.599833333,0.085595065
