Trial Pop,Cross Identity ,average proportion red ,sex
1,AA,0.118943558,f
1,AfCm F1,0.215926348,f
1,AfCm F2,0.189764574,f
1,CfAm F1,0.231197771,f
1,CfAm F2,0.180969606,f
1,CC,0.182647236,f
3,AA,0.161235364,f
3,AfCm F1,0.124880198,f
3,AfCm F2,0.16273392,f
3,CfAm F1,0.210242861,f
3,CfAm F2,0.16796457,f
3,CC,0.248758979,f
5,AA,0.090155944,f
5,AfCm F1,0.245806458,f
5,AfCm F2,0.128202591,f
5,CfAm F1,0.244158137,f
5,CfAm F2,0.161132078,f
5,CC,0.26716626,f
1,AA,0.039179879,m
1,AfCm F1,0.139321222,m
1,AfCm F2,0.058629107,m
1,CfAm F1,0.05609213,m
1,CfAm F2,0.110962596,m
1,CC,0.092812731,m
3,AA,0.066463966,m
3,AfCm F1,0.072687489,m
3,AfCm F2,0.095874205,m
3,CfAm F1,0.113285468,m
3,CfAm F2,0.102779337,m
3,CC,0.160007472,m
5,AA,0.050367457,m
5,AfCm F1,0.130558466,m
5,AfCm F2,0.079212143,m
5,CfAm F1,0.208232419,m
5,CfAm F2,0.041673736,m
5,CC,0.09014615,m
