Day,Female ID,Vial number ,number mating pairs ,number mated blue,number mated red,number mated Cs,number mated As,Proportion C  mating,Proportion A mating ,Mated female pop 
1,A1,1,9,3,6,6,3,0.666666667,0.333333333,A
1,A1,2,7,2,5,5,2,0.714285714,0.285714286,A
1,A1,3,3,1,2,2,1,0.666666667,0.333333333,A
1,A1,4,8,5,3,3,5,0.375,0.625,A
1,A1,5,5,3,2,2,3,0.4,0.6,A
1,A1,6,5,2,3,2,3,0.4,0.6,A
1,A1,7,8,3,5,3,5,0.375,0.625,A
1,A1,8,5,1,4,1,4,0.2,0.8,A
1,A1,9,6,5,1,5,1,0.833333333,0.166666667,A
1,A1,10,9,2,7,2,7,0.222222222,0.777777778,A
1,A3,1,9,6,3,6,3,0.666666667,0.333333333,A
1,A3,2,8,5,3,5,3,0.625,0.375,A
1,A3,3,10,8,2,8,2,0.8,0.2,A
1,A3,4,6,4,2,4,2,0.666666667,0.333333333,A
1,A3,5,4,2,2,2,2,0.5,0.5,A
1,A3,6,4,2,2,2,2,0.5,0.5,A
1,A3,7,8,5,3,3,5,0.375,0.625,A
1,A3,8,8,1,7,7,1,0.875,0.125,A
1,A3,9,7,3,4,4,3,0.571428571,0.428571429,A
1,A3,10,5,1,4,4,1,0.8,0.2,A
1,A5,1,8,6,2,6,2,0.75,0.25,A
1,A5,2,8,5,3,5,3,0.625,0.375,A
1,A5,3,4,2,2,2,2,0.5,0.5,A
1,A5,4,7,6,1,6,1,0.857142857,0.142857143,A
1,A5,5,9,7,2,7,2,0.777777778,0.222222222,A
1,A5,6,6,1,5,5,1,0.833333333,0.166666667,A
1,A5,7,8,3,5,5,3,0.625,0.375,A
1,A5,8,7,3,4,4,3,0.571428571,0.428571429,A
1,A5,9,6,1,5,5,1,0.833333333,0.166666667,A
1,A5,10,10,6,4,4,6,0.4,0.6,A
1,C1,1,8,6,2,6,2,0.75,0.25,C
1,C1,2,8,4,4,4,4,0.5,0.5,C
1,C1,3,9,3,6,3,6,0.333333333,0.666666667,C
1,C1,4,8,5,3,5,3,0.625,0.375,C
1,C1,5,7,5,2,5,2,0.714285714,0.285714286,C
1,C1,6,6,0,6,6,0,1,0,C
1,C1,7,8,3,5,5,3,0.625,0.375,C
1,C1,8,9,4,5,5,4,0.555555556,0.444444444,C
1,C1,9,9,4,5,5,4,0.555555556,0.444444444,C
1,C1,10,9,3,6,6,3,0.666666667,0.333333333,C
1,C3,1,6,4,2,4,2,0.666666667,0.333333333,C
1,C3,2,7,6,1,6,1,0.857142857,0.142857143,C
1,C3,3,9,5,4,5,4,0.555555556,0.444444444,C
1,C3,4,7,4,3,4,3,0.571428571,0.428571429,C
1,C3,5,6,4,2,4,2,0.666666667,0.333333333,C
1,C3,6,7,3,4,4,3,0.571428571,0.428571429,C
1,C3,7,6,1,5,5,1,0.833333333,0.166666667,C
1,C3,8,7,5,2,2,5,0.285714286,0.714285714,C
1,C3,9,7,6,1,1,6,0.142857143,0.857142857,C
1,C3,10,8,3,5,5,3,0.625,0.375,C
1,C5,1,8,5,3,5,3,0.625,0.375,C
1,C5,2,9,6,3,6,3,0.666666667,0.333333333,C
1,C5,3,10,7,3,7,3,0.7,0.3,C
1,C5,4,9,7,2,7,1,0.875,0.125,C
1,C5,5,8,4,4,4,4,0.5,0.5,C
1,C5,6,8,3,5,5,3,0.625,0.375,C
