Day,Female ID,Female pop,Vial number,mated male,type ,proportion mated,average proportion-replicate pop,average-overall population,sd
one,A1,A,1,A,H,0.333333333,0.51468254,0.383743842,0.199284134
one,A1,A,2,A,H,0.285714286,0.51468254,0.38374384,0.19928413
one,A1,A,3,A,H,0.333333333,0.51468254,0.38374384,0.19928413
one,A1,A,4,A,H,0.625,0.51468254,0.38374384,0.19928413
one,A1,A,5,A,H,0.6,0.51468254,0.38374384,0.19928413
one,A1,A,6,A,H,0.6,0.51468254,0.38374384,0.19928413
one,A1,A,7,A,H,0.625,0.51468254,0.38374384,0.19928413
one,A1,A,8,A,H,0.8,0.51468254,0.38374384,0.19928413
one,A1,A,9,A,H,0.166666667,0.51468254,0.38374384,0.19928413
one,A1,A,10,A,H,0.777777778,0.51468254,0.38374384,0.19928413
one,A3,A,1,A,H,0.333333333,0.36202381,0.38374384,0.19928413
one,A3,A,2,A,H,0.375,0.36202381,0.38374384,0.19928413
one,A3,A,3,A,H,0.2,0.36202381,0.38374384,0.19928413
one,A3,A,4,A,H,0.333333333,0.36202381,0.38374384,0.19928413
one,A3,A,5,A,H,0.5,0.36202381,0.38374384,0.19928413
one,A3,A,6,A,H,0.5,0.36202381,0.38374384,0.19928413
one,A3,A,7,A,H,0.625,0.36202381,0.38374384,0.19928413
one,A3,A,8,A,H,0.125,0.36202381,0.38374384,0.19928413
one,A3,A,9,A,H,0.428571429,0.36202381,0.38374384,0.19928413
one,A3,A,10,A,H,0.2,0.36202381,0.38374384,0.19928413
one,A5,A,1,A,H,0.25,0.322698413,0.38374384,0.19928413
one,A5,A,2,A,H,0.375,0.322698413,0.38374384,0.19928413
one,A5,A,3,A,H,0.5,0.322698413,0.38374384,0.19928413
one,A5,A,4,A,H,0.142857143,0.322698413,0.38374384,0.19928413
one,A5,A,5,A,H,0.222222222,0.322698413,0.38374384,0.19928413
one,A5,A,6,A,H,0.166666667,0.322698413,0.38374384,0.19928413
one,A5,A,7,A,H,0.375,0.322698413,0.38374384,0.19928413
one,A5,A,8,A,H,0.428571429,0.322698413,0.38374384,0.19928413
one,A5,A,9,A,H,0.166666667,0.322698413,0.38374384,0.19928413
one,A5,A,10,A,H,0.6,0.322698413,0.38374384,0.19928413
two,A1,A,1,A,H,0.25,0.458730159,0.38374384,0.19928413
two,A1,A,2,A,H,0.75,0.45873016,0.38374384,0.19928413
two,A1,A,3,A,H,0.4,0.45873016,0.38374384,0.19928413
two,A1,A,4,A,H,0.428571429,0.45873016,0.38374384,0.19928413
two,A1,A,5,A,H,0.75,0.45873016,0.38374384,0.19928413
two,A1,A,6,A,H,0.25,0.45873016,0.38374384,0.19928413
two,A1,A,7,A,H,0.4,0.45873016,0.38374384,0.19928413
