Trial ID,Vial ID,Observation start time,Mating start time,Mated female,Mating end time ,Mated male pop,Mated male,Mated female ID,Mated female pop ,mating latency,mating duration
1,6,9:17,9:28,B,9:49,A,A1,C1,C,11,21
1,7,9:19,9:25,B,9:45,A,A1,C1,C,6,20
1,9,9:31,9:34,B,9:51,A,A1,C1,C,3,17
1,14,9:20,9:23,B,9:33,A,A1,C1,C,3,10
1,17,9:21,9:39,B,9:55,A,A1,C1,C,18,16
1,18,9:27,9:56,B,10:14,A,A1,C1,C,29,18
1,19,9:20,9:26,B,9:49,A,A1,C1,C,6,23
1,26,9:36,9:55,B,10:16,A,A1,C1,C,19,21
1,30,9:35,9:51,B,10:05,A,A1,C1,C,16,14
1,32,9:33,9:50,B,10:07,A,A1,C1,C,17,17
1,33,9:30,9:52,B,10:14,A,A1,C1,C,22,22
1,34,9:30,9:47,B,10:00,A,A1,C1,C,17,13
1,35,9:30,9:47,B,10:10,A,A1,C1,C,17,23
1,53,9:43,9:52,B,10:08,C,C1,C1,C,9,16
1,54,9:40,9:45,B,9:58,C,C1,C1,C,5,13
1,55,9:43,9:52,B,10:07,C,C1,C1,C,9,15
1,57,9:40,9:49,B,10:08,C,C1,C1,C,9,19
1,59,9:41,10:06,B,10:28,C,C1,C1,C,25,22
1,61,9:49,9:59,B,10:16,C,C1,C1,C,10,17
1,63,9:50,10:12,B,10:25,C,C1,C1,C,22,13
1,64,9:48,10:04,B,10:18,C,C1,C1,C,16,14
1,66,9:49,10:03,B,10:25,C,C1,C1,C,14,22
1,69,9:49,9:58,B,10:17,C,C1,C1,C,9,19
1,70,9:48,9:53,B,10:08,C,C1,C1,C,5,15
1,71,9:45,9:56,B,10:11,C,C1,C1,C,11,15
1,72,9:44,10:02,B,10:14,C,C1,C1,C,18,12
1,73,9:45,9:55,B,10:12,C,C1,C1,C,10,17
1,74,9:46,9:53,B,10:09,C,C1,C1,C,7,16
1,78,9:46,10:12,B,10:23,C,C1,C1,C,26,11
1,83,9:57,10:01,B,10:14,C,C1,C1,C,4,13
1,85,9:58,10:06,B,10:26,C,C1,C1,C,8,20
1,88,9:57,10:00,B,10:15,C,C1,C1,C,3,15
1,89,9:56,10:10,B,10:16,C,C1,C1,C,14,6
1,90,9:58,10:01,B,10:16,C,C1,C1,C,3,15
1,93,9:54,9:59,B,10:16,C,C1,C1,C,5,17
1,95,9:52,10:45,B,11:02,C,C1,C1,C,53,17
1,96,9:58,10:19,B,10:38,C,C1,C1,C,21,19
1,97,9:54,9:57,B,10:12,C,C1,C1,C,3,15
1,103,10:13,10:28,B,10:41,A,A3,C3,C,15,13
1,106,10:11,11:03,B,11:17,A,A3,C3,C,52,14
1,110,10:11,10:19,B,10:37,A,A3,C3,C,8,18
